na,nb,road_length,road_width
4357,4358,854.152436,30
4359,4360,543.280316,22
4361,4362,275.505811,26
4363,4364,261.486567,38
4365,4366,540.813400,30
4367,4368,125.418593,30
1512,4369,279.017366,38
4370,4371,271.232753,0
4372,4373,164.969509,40
4374,4375,287.470599,0
4376,4377,328.079077,40
4378,4379,300.749805,30
4380,4381,789.256382,44
4383,4384,461.768941,25
4385,4386,510.851999,30
4387,4388,268.692375,30
4389,4390,212.352121,30
4391,4392,32.790387,20
4394,4395,270.278634,44
4397,4398,182.183458,0
4399,4400,250.111845,30
4401,4402,341.454840,30
4403,4404,253.986226,24
4415,4416,695.864145,28
4417,4418,628.559177,30
4421,4422,723.608188,28
4423,4424,56.587264,22
4425,4426,92.533303,25
4428,4429,449.039599,20
4430,4431,259.308673,44
4432,4433,338.735015,30
4434,4435,258.566654,34
4436,4437,250.202660,30
4438,4439,276.900384,30
4440,4441,250.982494,26
4443,4444,426.577657,12
4446,4447,782.794740,36
4448,4449,34.017316,30
4450,4451,83.586482,45
4452,4453,384.355865,32
4454,4455,365.650318,30
4456,4457,35.893284,24
4458,4459,737.525627,30
4461,4462,128.915321,12
4463,4464,249.393406,30
4465,4466,279.968002,60
4467,4468,21.320159,42
4538,4539,186.721123,15
4540,4541,181.213742,34
4542,4543,270.346230,44
4544,4545,35.301666,42
4553,4554,813.744526,15
4560,4561,496.259146,24
4564,4565,179.776672,20
4569,4570,81.947525,24
4571,4572,820.468170,38
4574,4575,47.145080,42
4576,4577,253.149230,10
4578,4579,855.301783,64
4587,4588,1012.229005,32
4589,4590,250.155729,40
4592,4593,285.158789,50
4594,4595,468.684080,30
4596,4597,272.262140,20
4598,4599,290.192082,34
4612,4613,1042.405789,15
4614,4615,262.387947,30
4616,4617,87.679220,42
4618,4619,218.775592,30
4620,4621,324.276607,30
4623,4624,54.862283,34
4625,4626,279.606626,52
4627,4628,296.224469,30
4629,4630,62.902795,0
4631,4632,23.848531,28
4634,4635,45.621121,28
4636,4637,417.480903,32
4638,4639,623.779686,30
4640,4641,148.602390,24
4642,4643,373.368449,30
4663,4664,97.558204,20
4666,4667,42.797016,15
4668,4669,134.111628,30
4670,4671,132.972464,24
4672,4673,445.157659,28
4674,4675,473.040978,30
4677,4678,233.644984,24
4679,4680,380.365223,32
4681,4682,258.105688,26
4683,4684,241.552362,25
4686,4687,288.728878,30
4688,4689,280.716896,70
4690,4691,30.110281,0
4692,4693,469.746465,30
4694,4695,259.351501,34
4696,4697,79.223025,0
4699,4700,332.170116,34
